Locus_tag	Orig_Location	Orig_Num_Transcripts	Contig:start-end	Strand	Gene_Length	Num_Transcripts	mRNA_AED	CDS_AED	Description
I1I15_000001	contig1:13690-15073	1	contig1:13690-15073	-	1383	1	0.000	0.000	no change
I1I15_000002	contig1:17644-18315	1	contig1:17456-18315	-	859	1	0.109	0.000	gene coordinates updated;3prime UTR added;mRNA updated
I1I15_000003	contig1:18985-20139	1	contig1:18985-20139	-	1154	1	0.000	0.000	no change
I1I15_000004	contig1:21301-21687	1	contig1:21301-21687	-	386	1	0.000	0.000	no change
I1I15_000005	contig1:22618-24864	1	contig1:21961-24903	+	2942	1	0.118	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_000006	contig1:25323-26853	1	contig1:25323-26853	-	1530	1	0.000	0.000	no change
I1I15_000007	contig1:26887-27189	1	contig1:26887-27189	-	302	1	0.000	0.000	no change
I1I15_000008	contig1:28050-46430	1	contig1:27935-46430	-	18495	1	0.003	0.000	gene coordinates updated;3prime UTR added;mRNA updated
I1I15_000009	contig1:47411-48903	1	contig1:47411-48903	+	1492	1	0.000	0.000	no change
I1I15_000010	contig1:49491-50065	1	contig1:49491-50065	+	574	1	0.000	0.000	no change
I1I15_000011	contig1:50341-52177	1	contig1:50341-52177	-	1836	1	0.000	0.000	no change
I1I15_000012	contig1:53164-53745	1	contig1:53164-53745	+	581	1	0.000	0.000	no change
I1I15_000013	contig1:54070-54594	1	contig1:54070-54594	+	524	1	0.000	0.000	no change
I1I15_000014	contig1:54612-54800	1	contig1:54612-54800	+	188	1	0.000	0.000	no change
I1I15_000015	contig1:55012-55275	1	contig1:55012-55275	+	263	1	0.000	0.000	no change
I1I15_000016	contig1:56060-56443	1	contig1:56060-56443	-	383	1	0.000	0.000	no change
I1I15_000017	contig1:59559-60650	1	contig1:59559-60650	-	1091	1	0.000	0.000	no change
I1I15_000018	contig1:61686-73961	1	contig1:61686-73961	-	12275	1	0.000	0.000	no change
I1I15_000019	contig1:76066-76497	1	contig1:76066-76497	+	431	1	0.000	0.000	no change
I1I15_000020	contig1:77469-79859	1	contig1:77469-79859	-	2390	1	0.000	0.000	no change
I1I15_000021	contig1:80580-81363	1	contig1:80580-81363	+	783	1	0.000	0.000	no change
I1I15_000022	contig1:82049-85514	1	contig1:81795-87183	-	5388	1	0.179	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_000023	contig1:87504-90207	1	contig1:87504-90207	+	2703	1	0.000	0.000	no change
I1I15_000024	contig1:90369-91268	1	contig1:90369-91268	-	899	1	0.000	0.000	no change
I1I15_000025	contig1:92045-92785	1	contig1:92045-92785	-	740	1	0.000	0.000	no change
I1I15_000026	contig1:93223-95123	1	contig1:93223-95848	-	2625	1	0.148	0.000	gene coordinates updated;5prime UTR added;mRNA updated
I1I15_000027	contig1:96428-97101	1	contig1:96428-97101	+	673	1	0.000	0.000	no change
I1I15_000028	contig1:98329-100422	1	contig1:98228-100422	-	2194	1	0.023	0.000	gene coordinates updated;3prime UTR added;mRNA updated
I1I15_000029	contig1:102657-104508	1	contig1:102657-104508	+	1851	1	0.000	0.000	no change
I1I15_000030	contig1:105070-106583	1	contig1:105010-106583	-	1573	1	0.021	0.000	gene coordinates updated;3prime UTR added;mRNA updated
I1I15_000031	contig1:107331-108872	1	contig1:107312-108872	-	1560	1	0.007	0.000	gene coordinates updated;3prime UTR added;mRNA updated
I1I15_000032	contig1:110217-111264	1	contig1:110217-111264	+	1047	1	0.000	0.000	no change
I1I15_000033	contig1:111550-112845	1	contig1:111550-112948	-	1398	1	0.042	0.000	gene coordinates updated;5prime UTR added;mRNA updated
I1I15_000034	contig1:113922-115409	1	contig1:113922-115409	+	1487	1	0.000	0.000	no change
I1I15_000035	contig1:115764-120023	1	contig1:115764-120023	-	4259	1	0.000	0.000	no change
I1I15_000036	contig1:121662-121883	1	contig1:121662-121883	+	221	1	0.000	0.000	no change
I1I15_000037	contig1:121913-122985	1	contig1:121913-122985	+	1072	1	0.000	0.000	no change
I1I15_000038	contig1:123864-125841	1	contig1:123864-125841	+	1977	1	0.000	0.000	no change
I1I15_000039	contig1:126320-127630	1	contig1:126320-127630	-	1310	1	0.000	0.000	no change
I1I15_000040	contig1:128021-131845	1	contig1:128021-131845	-	3824	1	0.000	0.000	no change
I1I15_000041	contig1:132425-133193	1	contig1:132425-133193	+	768	1	0.000	0.000	no change
I1I15_000042	contig1:133282-135157	1	contig1:133282-135157	-	1875	1	0.000	0.000	no change
I1I15_000043	contig1:135813-136943	1	contig1:135813-136943	-	1130	1	0.000	0.000	no change
I1I15_000044	contig1:138958-140508	1	contig1:138958-140508	+	1550	1	0.000	0.000	no change
I1I15_000045	contig1:140685-141923	1	contig1:140685-141923	-	1238	1	0.000	0.000	no change
I1I15_000046	contig1:143231-143944	1	contig1:142762-143944	+	1182	1	0.210	0.000	gene coordinates updated;5prime UTR added;mRNA updated
I1I15_000047	contig1:144413-145372	1	contig1:144413-145372	+	959	1	0.000	0.000	no change
I1I15_000048	contig1:145738-146201	1	contig1:145738-146201	+	463	1	0.000	0.000	no change
I1I15_000049	contig1:146430-148093	1	contig1:146331-148509	-	2178	2	0.060	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_000050	contig1:148642-149886	1	contig1:148642-149886	-	1244	1	0.000	0.000	no change
I1I15_000051	contig1:152372-152831	1	contig1:152372-152831	-	459	1	0.000	0.000	no change
I1I15_000052	contig1:154133-155798	1	contig1:154133-155798	+	1665	1	0.000	0.000	no change
I1I15_000053	contig1:157978-158871	1	contig1:157978-158871	-	893	1	0.000	0.000	no change
I1I15_000054	contig1:159458-160203	1	contig1:159458-160203	-	745	1	0.000	0.000	no change
I1I15_000055	contig1:160353-160424	1	contig1:160353-160424	-	71	1	0.000	0.000	no change
I1I15_000056	contig1:160644-162532	1	contig1:160644-162532	-	1888	1	0.000	0.000	no change
I1I15_000057	contig1:163398-165202	1	contig1:163398-165202	+	1804	1	0.000	0.000	no change
I1I15_000058	contig1:165414-165734	1	contig1:165414-165853	-	439	1	0.136	0.000	gene coordinates updated;5prime UTR added;mRNA updated
I1I15_000059	contig1:166480-167055	1	contig1:166480-167055	-	575	1	0.000	0.000	no change
I1I15_000060	contig1:167516-170121	1	contig1:167516-170121	-	2605	1	0.000	0.000	no change
I1I15_000061	contig1:170530-171258	1	contig1:170530-171258	+	728	1	0.000	0.000	no change
I1I15_000062	contig1:171473-172266	1	contig1:171473-172266	-	793	1	0.000	0.000	no change
I1I15_000063	contig1:172399-173121	1	contig1:172399-173121	-	722	1	0.000	0.000	no change
I1I15_000064	contig1:176445-177302	1	contig1:176445-177302	-	857	1	0.000	0.000	no change
I1I15_000065	contig1:178242-178925	1	contig1:178021-179072	+	1051	1	0.175	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_000066	contig1:180118-181340	1	contig1:180118-181340	+	1222	1	0.000	0.000	no change
I1I15_000067	contig1:181589-183608	1	contig1:181589-183608	-	2019	1	0.000	0.000	no change
I1I15_000068	contig1:184152-185619	1	contig1:184152-185619	-	1467	1	0.000	0.000	no change
I1I15_000069	contig1:186061-187579	1	contig1:185946-187579	-	1633	1	0.038	0.000	gene coordinates updated;3prime UTR added;mRNA updated
I1I15_000070	contig1:190173-190809	1	contig1:190173-190809	+	636	1	0.000	0.000	no change
I1I15_000071	contig1:191315-192451	1	contig1:191315-192451	-	1136	1	0.000	0.000	no change
I1I15_000072	contig1:193149-196173	1	contig1:193149-196173	-	3024	1	0.000	0.000	no change
I1I15_000073	contig1:197631-199646	1	contig1:197214-199788	+	2574	1	0.101	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_000074	contig1:199995-200954	1	contig1:199995-200954	-	959	1	0.000	0.000	no change
I1I15_000075	contig1:201480-202037	1	contig1:201455-202174	+	719	1	0.113	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_000076	contig1:204506-205343	1	contig1:203783-205579	-	1796	2	0.136	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_000077	contig1:207128-207556	1	contig1:206641-207656	+	1015	1	0.289	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_000078	contig1:207955-208585	1	contig1:207955-208585	+	630	1	0.000	0.000	no change
I1I15_000079	contig1:209663-211110	1	contig1:209526-211313	-	1787	1	0.099	0.013	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated;CDS update [translation pident: 97%]
I1I15_000080	contig1:212249-212744	1	contig1:212204-212744	+	540	1	0.047	0.000	gene coordinates updated;5prime UTR added;mRNA updated
I1I15_000081	contig1:213847-215109	1	contig1:212943-215243	-	2300	1	0.216	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_000082	contig1:216847-218357	1	contig1:216847-218357	-	1510	1	0.000	0.000	no change
I1I15_000083	contig1:218852-220810	1	contig1:218852-220810	-	1958	1	0.000	0.000	no change
I1I15_000084	contig1:221330-222568	1	contig1:221330-222568	-	1238	1	0.000	0.000	no change
I1I15_000085	contig1:222588-222992	1	contig1:222588-222992	-	404	1	0.000	0.000	no change
I1I15_000086	contig1:223599-226661	1	contig1:223599-226661	+	3062	1	0.000	0.000	no change
I1I15_000087	contig1:227157-228103	1	contig1:227157-228103	-	946	1	0.000	0.000	no change
I1I15_000088	contig1:230061-231168	1	contig1:230061-231168	+	1107	1	0.000	0.000	no change
I1I15_000089	contig1:236007-237964	1	contig1:235381-237964	-	2583	1	0.127	0.000	gene coordinates updated;3prime UTR added;mRNA updated
I1I15_000090	contig1:238710-239516	1	contig1:238710-239516	+	806	1	0.000	0.000	no change
I1I15_000091	contig1:239844-241979	1	contig1:239844-241979	-	2135	1	0.000	0.000	no change
I1I15_000092	contig1:242344-243159	1	contig1:242344-243159	-	815	1	0.000	0.000	no change
I1I15_000093	contig1:245031-246611	1	contig1:245031-246611	+	1580	1	0.000	0.000	no change
I1I15_000094	contig1:246688-246945	1	contig1:246688-246945	+	257	1	0.000	0.000	no change
I1I15_000095	contig1:247432-249183	1	contig1:247316-249264	-	1948	1	0.064	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_000096	contig1:251367-251730	1	contig1:251367-251730	+	363	1	0.000	0.000	no change
I1I15_000097	contig1:254716-257191	1	contig1:254576-257285	+	2709	1	0.044	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_000098	contig1:257771-258508	1	contig1:257771-258508	+	737	1	0.000	0.000	no change
I1I15_000099	contig1:258801-260132	1	contig1:258801-260132	+	1331	1	0.000	0.000	no change
I1I15_000100	contig1:263677-264833	1	contig1:262805-265004	+	2199	1	0.244	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_000101	contig1:265607-266894	1	contig1:265607-266894	-	1287	1	0.000	0.000	no change
I1I15_000102	contig1:266970-267511	1	contig1:266970-267511	-	541	1	0.000	0.000	no change
I1I15_000103	contig1:268689-270122	1	contig1:268116-270122	+	2006	1	0.159	0.000	gene coordinates updated;5prime UTR added;mRNA updated
I1I15_000104	contig1:270610-272525	1	contig1:270439-273603	+	3164	2	0.105	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_000105	contig1:272612-273225	1	contig1:272612-273225	-	613	1	0.000	0.000	no change
I1I15_000106	contig1:273900-275030	1	contig1:273900-275030	-	1130	1	0.000	0.000	no change
I1I15_000107	contig1:275377-277069	1	contig1:275377-277069	-	1692	1	0.000	0.000	no change
I1I15_000108	contig1:278362-279300	1	contig1:278362-279300	+	938	1	0.000	0.000	no change
I1I15_000109	contig1:280599-281495	1	contig1:280599-281495	+	896	1	0.000	0.000	no change
I1I15_000110	contig1:282171-283022	1	contig1:282171-283022	-	851	1	0.000	0.000	no change
I1I15_000111	contig1:283947-285527	1	contig1:283114-285527	+	2413	1	0.173	0.000	gene coordinates updated;5prime UTR added;mRNA updated
I1I15_000112	contig1:286717-288135	1	contig1:286717-288135	+	1418	1	0.000	0.000	no change
I1I15_000113	contig1:288576-289250	1	contig1:288576-289250	+	674	1	0.000	0.000	no change
I1I15_000114	contig1:289936-290475	1	contig1:289936-290475	+	539	1	0.000	0.000	no change
I1I15_000115	contig1:290614-292044	1	contig1:290614-292044	+	1430	1	0.000	0.000	no change
I1I15_000116	contig1:292359-294687	1	contig1:292359-294687	-	2328	1	0.000	0.000	no change
I1I15_000117	contig1:296897-298698	1	contig1:296685-298873	-	2188	1	0.091	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_000118	contig1:299154-300487	1	contig1:299154-300487	+	1333	1	0.000	0.000	no change
I1I15_000119	contig1:301112-301684	1	contig1:301112-301684	+	572	1	0.000	0.000	no change
I1I15_000120	contig1:301756-303148	1	contig1:301756-303148	+	1392	1	0.000	0.000	no change
I1I15_000121	contig1:303434-305626	1	contig1:303434-305626	+	2192	1	0.000	0.000	no change
I1I15_000122	contig1:306081-307861	1	contig1:306081-307861	+	1780	1	0.000	0.000	no change
I1I15_000123	contig1:308777-311255	1	contig1:308777-311255	+	2478	1	0.000	0.000	no change
I1I15_000124	contig1:311675-312334	1	contig1:311675-312334	+	659	1	0.000	0.000	no change
I1I15_000125	contig1:312482-313986	1	contig1:312482-313986	-	1504	1	0.000	0.000	no change
I1I15_000126	contig1:314731-315213	1	contig1:314370-315454	-	1084	1	0.278	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_000127	contig1:315933-318355	1	contig1:315684-319060	+	3376	1	0.138	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_000128	contig1:318721-320423	1	contig1:318721-320423	-	1702	1	0.000	0.000	no change
I1I15_000129	contig1:321307-322889	1	contig1:321307-322889	-	1582	1	0.000	0.000	no change
I1I15_000130	contig1:323457-324981	1	contig1:322599-325447	+	2848	1	0.238	0.000	gene coordinates updated;5prime UTR added;3prime UTR added;mRNA updated
I1I15_000131	contig1:325421-326527	1	contig1:325421-326527	-	1106	1	0.000	0.000	no change
I1I15_000132	contig1:327937-333088	1	contig1:327937-333088	-	5151	1	0.000	0.000	no change
I1I15_000133	contig1:333517-334090	1	contig1:333517-334090	-	573	1	0.000	0.000	no change
I1I15_000134	contig1:334983-336100	1	contig1:334983-336100	-	1117	1	0.000	0.000	no change
I1I15_000135	contig1:337036-338511	1	contig1:337036-338511	+	1475	1	0.000	0.000	no change
I1I15_000136	contig1:338742-340154	1	contig1:338742-340154	-	1412	1	0.000	0.000	no change
I1I15_000137	contig1:341404-343111	1	contig1:341404-343111	+	1707	1	0.000	0.000	no change
I1I15_000138	contig1:345102-345835	1	contig1:345102-345835	+	733	1	0.000	0.000	no change
I1I15_000139	contig1:346163-346234	1	contig1:346163-346234	+	71	1	0.000	0.000	no change
I1I15_000140	contig1:346632-347296	1	contig1:346632-347296	-	664	1	0.000	0.000	no change
